station_id,name,operator,state,city,pincode,charger_types,number_of_chargers,power_kW_each,price_per_kWh_INR,tariff_type,payment_methods,opening_hours,contact_number,email,station_rating,num_reviews,parking_spaces,amenities,reservation_supported,fast_charging_supported,nearby_landmark,uptime_percent,status
STN0001,New Delhi EV Charging Station 1,Tata Power,Delhi,New Delhi,110299,AC Type2,4,3.3;22;11;11,31.01,Fixed,UPI;Credit Card;Wallet,24x7,+914704587398,contact1@example-ev.com,3.5,1,29,Waiting Area,No,No,Mall,93.12,Active
STN0002,Pune EV Charging Station 2,Magenta,Maharashtra,Pune,411046,AC Type2;DC CHAdeMO,10,350;250;30;7.2;3.3;11;150;50;22;150,8.44,Dynamic,UPI;Credit Card,08:00-20:00,+917304546601,contact2@example-ev.com,4.7,234,27,Waiting Area;Restroom;Shops,No,Yes,Residential Area,92.31,Active
STN0003,Mumbai EV Charging Station 3,Magenta,Maharashtra,Mumbai,400551,AC Type2;DC CCS2,2,22;250,8.79,Fixed,UPI;Credit Card,06:00-22:00,+914652858129,contact3@example-ev.com,3.6,356,3,None;Cafe;ATM,Yes,Yes,Airport,96.72,Active
STN0004,Kolkata EV Charging Station 4,Fortum,West Bengal,Kolkata,700088,DC CCS2;DC CHAdeMO,6,350;22;30;150;7.2;50,22.73,Fixed,RFID;UPI;Credit Card,06:00-22:00,+915882827760,contact4@example-ev.com,4.8,249,15,Shops;ATM,Yes,Yes,Mall,99.47,Active
STN0005,Hyderabad EV Charging Station 5,AtherGrid,Telangana,Hyderabad,500126,DC CHAdeMO,6,75;7.2;3.3;22;50;11,31.26,Fixed,RFID;UPI,06:00-22:00,+910609641795,contact5@example-ev.com,3.4,459,23,Cafe,No,Yes,Airport,94.11,Active
STN0006,Chennai EV Charging Station 6,Magenta,Tamil Nadu,Chennai,600234,AC Type2;DC CHAdeMO,6,75;22;100;30;30;350,27.81,Dynamic,RFID;UPI,06:00-22:00,+914265609072,contact6@example-ev.com,3.3,891,25,Waiting Area,Yes,Yes,Industrial Area,98.91,Active
STN0007,Chennai EV Charging Station 7,AtherGrid,Tamil Nadu,Chennai,600116,AC Type2;DC CHAdeMO,10,11;350;50;100;3.3;22;350;250;22;60,21.32,Fixed,RFID;UPI,24x7,+913805273638,contact7@example-ev.com,3.4,413,3,ATM,No,Yes,Mall,90.41,Under Maintenance
STN0008,Kolkata EV Charging Station 8,Fortum,West Bengal,Kolkata,700983,AC Type2;DC CCS2,2,11;50,11.4,Fixed,UPI;Credit Card,06:00-22:00,+916272021501,contact8@example-ev.com,4.0,295,25,ATM,Yes,Yes,Industrial Area,98.21,Active
STN0009,Bengaluru EV Charging Station 9,Tata Power,Karnataka,Bengaluru,560113,DC CCS2;DC CHAdeMO,3,30;350;7.2,26.05,Dynamic,RFID;UPI,06:00-22:00,+913280984685,contact9@example-ev.com,3.5,803,29,None;Cafe,Yes,Yes,Mall,92.89,Active
STN0010,Pune EV Charging Station 10,EVgoIndia,Maharashtra,Pune,411558,AC Type2;DC CHAdeMO,2,150;3.3,29.61,Dynamic,UPI;Credit Card;Wallet,08:00-20:00,+910402352129,contact10@example-ev.com,4.4,624,22,Restroom;Waiting Area,Yes,Yes,Residential Area,96.72,Active
